request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_136,422.84,affordable_later,wait,2024-06-15:560.4,2024-06-15,none,
request_137,23225.100000000002,affordable_with_plan,wait,2026-01-15:80100,2026-01-15,none,
request_138,253.84,affordable_with_plan,partial_payment,2026-04-07:253.84|2026-05-15:1003.1,2026-05-15,none,
request_139,1165.37,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,
request_140,0.0,not_affordable,not_recommended,none,,none,
request_141,15336.09,not_affordable,not_recommended,none,,none,
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,
request_143,0.0,not_affordable,not_recommended,none,,none,
request_144,181.57,affordable_later,wait,2026-09-15:233.34,2026-09-15,none,
request_145,11745.94,not_affordable,not_recommended,none,,none,
request_146,0.0,not_affordable,not_recommended,none,,none,
request_147,161.44,not_affordable,not_recommended,none,,none,
request_148,7248.05,not_affordable,not_recommended,none,,none,
request_149,15001.4,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,
request_150,0.0,not_affordable,not_recommended,none,,none,
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,
request_152,3464.67,not_affordable,not_recommended,none,,none,
request_153,102.38,affordable_later,wait,2026-10-05:2830.8,2026-10-05,none,
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,
request_156,5716.56,affordable_later,wait,2026-07-02:43076,2026-07-02,none,
request_157,5449139.69,affordable_later,wait,2024-06-03:23503000,2024-06-03,none,
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,
request_160,459.89,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,
request_161,0.0,not_affordable,not_recommended,none,,none,
request_162,0.0,not_affordable,not_recommended,none,,none,
request_163,1001746.42,not_affordable,not_recommended,none,,none,
request_164,24003937.49,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-15,none,
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,
request_168,0.0,not_affordable,not_recommended,none,,none,
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,
request_170,28714727.3,not_affordable,not_recommended,none,,none,
request_171,0.0,not_affordable,not_recommended,none,,none,
request_172,7166.86,not_affordable,not_recommended,none,,none,
request_173,59229.41,affordable_with_plan,installments,2025-11-07:8286.67|2025-12-07:8286.67|2026-01-06:8286.67|2026-02-05:8286.67|2026-03-07:8286.67|2026-04-06:8286.67|2026-05-06:8286.67|2026-06-05:8286.67|2026-07-05:8286.67|2026-08-04:8286.67|2026-09-03:8286.67|2026-10-03:8286.67|2026-11-02:8286.67|2026-12-02:8286.67|2027-01-01:8286.67,2026-01-15,none,
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,
request_176,310.35,affordable_later,wait,2025-03-15:1239.7,2025-03-15,none,
request_177,0.0,not_affordable,not_recommended,none,,none,
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,
request_179,6732113.81,affordable_later,wait,2025-08-02:41648000,2025-08-02,none,
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,
request_181,114.23,affordable_later,wait,2024-05-15:5059.2,2024-05-15,none,
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,
request_183,11799577.2,not_affordable,not_recommended,none,,none,
request_184,0.0,not_affordable,not_recommended,none,,none,
request_185,249.09,affordable_with_plan,wait,2026-01-15:1257.3,2026-01-15,none,
request_186,0.0,not_affordable,not_recommended,none,,none,
request_187,41072.31,affordable_with_plan,wait,2024-11-15:187500,2024-11-15,none,
request_188,0.0,not_affordable,not_recommended,none,,none,
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,
request_190,366.48,affordable_with_plan,wait,2024-12-15:2557.5,2024-12-15,none,
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,
request_192,68.63,affordable_later,wait,2026-07-04:2046,2026-07-04,none,
request_193,0.0,not_affordable,not_recommended,none,,none,
request_194,22109.68,affordable_with_plan,wait,2025-10-15:132800,2025-10-15,none,
request_195,0.0,not_affordable,not_recommended,none,,none,
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,
request_197,0.0,not_affordable,not_recommended,none,,none,
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,
request_202,117986.88,affordable_later,wait,2025-01-15:123900,2025-01-15,none,
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,
request_207,2557.48,affordable_with_plan,wait,2026-07-15:11830,2026-07-15,none,
request_208,3263124.36,affordable_with_plan,wait,2024-06-15:4413000,2024-06-15,none,
request_209,837.41,not_affordable,not_recommended,none,,none,
request_210,491.93,affordable_with_plan,partial_payment,2026-04-06:491.93|2026-04-15:868.09,2026-04-15,none,
request_211,196.75,affordable_with_plan,wait,2024-09-15:1788.6,2024-09-15,none,
request_212,4350428.87,affordable_later,wait,2025-05-06:71934000,2025-05-06,none,
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,
request_214,22649.27,affordable_with_plan,partial_payment,2024-12-04:22649.27|2025-01-15:47100.73,2025-01-15,none,
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,
request_216,382.93,affordable_later,wait,2026-10-01:3332.4,2026-10-01,none,
request_217,19041.89,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,
request_218,22258623.07,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,
request_219,756.52,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,
request_220,0.0,not_affordable,not_recommended,none,,none,
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,
request_223,839.13,affordable_with_plan,wait,2024-09-15:898.7,2024-09-15,none,
request_224,4180405.59,not_affordable,not_recommended,none,,none,
request_225,10411935.5,not_affordable,not_recommended,none,,none,
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,
request_227,800.54,not_affordable,not_recommended,none,,none,
request_228,0.0,not_affordable,not_recommended,none,,none,
request_229,259.72,not_affordable,not_recommended,none,,none,
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,
request_231,31966.68,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,
request_232,251.5,affordable_later,wait,2024-09-03:1970.1,2024-09-03,none,
request_233,0.0,not_affordable,not_recommended,none,,none,
request_234,82.69,affordable_with_plan,wait,2026-09-15:1213.3,2026-09-15,none,
request_235,923.08,affordable_later,wait,2024-11-15:967.2,2024-11-15,none,
request_236,6008911.86,not_affordable,not_recommended,none,,none,
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,
request_240,14530.78,not_affordable,not_recommended,none,,none,
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,
request_242,0.0,not_affordable,not_recommended,none,,none,
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,
request_245,19072.58,affordable_with_plan,wait,2026-01-15:128500,2026-01-15,none,
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,
request_247,1028.61,affordable_with_plan,wait,2024-09-15:1059.3,2024-09-15,none,
request_248,907.01,not_affordable,not_recommended,none,,none,
request_249,0.0,not_affordable,not_recommended,none,,none,
request_250,12877.62,not_affordable,not_recommended,none,,none,
request_251,1513.6,affordable_with_plan,installments,2025-05-10:111|2025-06-09:111|2025-07-09:111|2025-08-08:111|2025-09-07:111|2025-10-07:111|2025-11-06:111|2025-12-06:111|2026-01-05:111|2026-02-04:111|2026-03-06:111|2026-04-05:111|2026-05-05:111|2026-06-04:111|2026-07-04:111,2025-05-03,none,
request_252,3829807.73,affordable_with_plan,wait,2026-09-15:28082000,2026-09-15,none,
request_253,1195.66,not_affordable,not_recommended,none,,none,
request_254,452.71,affordable_with_plan,wait,2025-10-15:3535.2,2025-10-15,none,
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,
request_256,168729.24,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,
request_257,275.83,affordable_with_plan,wait,2025-11-15:1352.4,2025-11-15,none,
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,
request_259,184.58,affordable_with_plan,wait,2024-11-15:935,2024-11-15,none,
request_260,4204188.21,not_affordable,not_recommended,none,,none,
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,
request_263,5341.49,not_affordable,not_recommended,none,,none,
request_264,15950.43,affordable_with_plan,wait,2026-06-15:111300,2026-06-15,none,
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,
request_266,818.52,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,
request_267,643.49,not_affordable,not_recommended,none,,none,
request_268,830.35,not_affordable,not_recommended,none,,none,
request_269,0.0,not_affordable,not_recommended,none,,none,
request_270,50.74,not_affordable,not_recommended,none,,none,
request_271,496.22,affordable_later,wait,2024-12-02:91300,2024-12-02,none,
request_272,6128654.53,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,
request_273,5286017.9,affordable_with_plan,partial_payment,2026-04-07:5286017.9|2026-05-15:10574982.1,2026-05-15,none,
request_274,2300.49,not_affordable,not_recommended,none,,none,
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,
